
2000,3.51,1.93
2002,3.52,1.93
2003,3.52,1.96
2004,5.19,1.99
2006,5.62,2.10
2007,5.74,2.11
2008,5.97,2.5
2009,6.14,2.64
2010,6.71,2.90
2011,7.11,3.3
2012,7.25,3.57
2013,7.39,3.82
2014,7.68,4.14
2015,7.78,4.20
2016,8.16,4.47
2017,8.37,4.89
2018,8.44,5.04
2019,9.01,5.22
2020,9.68,5.49
2021,10.44,6.04
2022,10.74,6.16
