
1950,1.50
1976,50
1989,100
2002,200
2005,230
2007,257
2008,245
2009,250
2010,270
2011,280
2012,288
2013,299
2014,311
2015,322
2016,335
2017,349
2018,366
2019,375
2020,376
2021,391
